User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1001062,P00351342,M,51-55,19,C,3,0,1,2.0,16.0,19142
1005172,P00237542,F,36-45,11,B,1,0,1,15.0,16.0,15513
1000415,P00116242,F,36-45,0,A,2,1,8,15.0,,7802
1000496,P00016742,M,18-25,4,A,3,0,1,15.0,16.0,15455
1002010,P00002242,M,18-25,4,B,0,0,6,8.0,16.0,4492
1004619,P00112242,F,26-35,1,B,4+,1,5,8.0,14.0,6965
1004384,P00121642,M,26-35,0,B,0,1,5,14.0,,8763
1003729,P00274042,M,18-25,4,A,2,0,1,,,19347
1000296,P00258742,M,51-55,5,C,4+,1,5,,,7017
1003878,P00228442,M,36-45,16,B,4+,0,1,17.0,,15594
1003762,P00105242,M,51-55,6,B,0,1,11,,,4649
1003799,P00127842,M,18-25,0,C,4+,1,1,2.0,15.0,19549
1005720,P00251542,M,26-35,0,A,0,0,11,16.0,,1762
1000430,P00320542,F,18-25,10,C,1,1,8,14.0,,6186
1001297,P00304042,M,26-35,7,A,4+,0,5,,,3663
1004022,P00046742,M,36-45,14,B,1,1,1,2.0,15.0,15394
1003539,P00162042,F,26-35,4,A,1,1,1,6.0,,18952
1004260,P00041342,M,26-35,16,C,3,1,11,15.0,16.0,3044
1005153,P00287842,M,26-35,7,B,3,0,8,18.0,,6025
1001647,P00185842,M,18-25,18,B,0,0,4,5.0,15.0,1462
1001112,P00256742,M,18-25,6,A,4+,0,8,,,4261
1003999,P00208742,M,36-45,17,B,4+,0,1,6.0,16.0,19112
1001632,P00110742,M,26-35,16,B,1,0,1,2.0,8.0,19297
1003591,P00159442,M,36-45,6,C,1,0,5,8.0,,3515
1001150,P00024242,F,26-35,20,A,1,0,5,,,1811
1005708,P00060242,M,36-45,1,B,4+,0,3,4.0,,13593
1004483,P00334642,F,26-35,6,B,4+,0,1,8.0,14.0,11418
1001712,P00331642,M,26-35,0,B,4+,0,12,,,1030
1002010,P0097042,M,18-25,4,B,0,0,6,,,8203
1001181,P00319342,M,36-45,7,A,3,1,5,8.0,,5325
1000203,P00102342,F,18-25,4,B,1,1,8,14.0,17.0,4211
1002106,P00194142,F,18-25,20,A,3,1,11,16.0,,1478
1001163,P00142942,M,0-17,10,C,2,0,1,2.0,16.0,15590
1005524,P00106042,F,0-17,10,B,1,0,5,,,7001
1002774,P00191042,M,26-35,1,A,1,0,3,4.0,,7947
1002847,P00132842,M,18-25,4,A,3,0,1,5.0,,4079
1004655,P00150342,F,26-35,1,A,3,0,8,14.0,,7967
1000366,P00266542,M,51-55,15,B,1,1,2,16.0,,16266
1000891,P00117942,M,26-35,1,C,4+,0,5,15.0,,6917
1005081,P00262342,F,18-25,4,B,3,0,15,16.0,,17409
1001181,P00050742,M,36-45,7,A,3,1,5,,,3738
1001181,P00234542,M,36-45,7,A,3,1,5,,,5304
1005878,P00213242,F,26-35,0,A,4+,1,5,8.0,,8745
1001407,P00005742,F,36-45,15,A,1,1,8,14.0,,7899
1004964,P00259342,M,36-45,0,A,1,1,5,9.0,,5213
1000539,P0096542,M,26-35,2,C,4+,0,3,4.0,12.0,11004
1004643,P00283942,M,26-35,0,A,0,0,5,,,5309
1001879,P0095642,M,26-35,4,C,1,1,5,,,5306
1005709,P00173342,M,18-25,4,B,4+,0,1,6.0,14.0,11783
1003922,P00197042,M,18-25,4,B,1,0,5,,,1896
1006028,P00111142,M,18-25,4,A,4+,0,1,15.0,16.0,15333
1003405,P00101942,M,36-45,14,B,4+,0,8,17.0,,9701
1001048,P00021742,M,36-45,6,C,4+,0,5,,,5157
1005208,P00240242,M,26-35,4,A,1,1,1,15.0,16.0,15374
1000728,P00028842,M,26-35,6,C,4+,0,6,8.0,,16305
1003699,P00085342,F,55+,3,C,3,1,10,13.0,,23519
1003947,P00074642,M,26-35,0,C,3,0,5,9.0,14.0,6902
1005832,P00109942,F,26-35,0,C,4+,0,8,,,6035
1002316,P00332842,M,36-45,0,B,0,0,4,5.0,,1412
1004016,P00331442,M,51-55,0,B,1,0,8,,,8037
1003696,P00372445,M,36-45,7,C,3,0,20,,,472
1000966,P00330842,M,55+,2,C,4+,0,14,16.0,,7571
1001465,P00284742,M,51-55,16,B,4+,1,5,12.0,,7060
1004543,P00297942,M,26-35,2,A,0,0,8,,,7837
1003821,P00100942,M,26-35,20,A,2,1,5,,,7129
